DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID),DOWeekday
Manhattan,Midtown Center,721913,161,721913,Wednesday
Manhattan,Midtown Center,712595,161,712595,Thursday
Manhattan,Midtown Center,695135,161,695135,Tuesday
Manhattan,Upper East Side North,681370,236,681370,Wednesday
Manhattan,Upper East Side North,666032,236,666032,Thursday
Manhattan,Midtown Center,657604,161,657604,Friday
Manhattan,Upper East Side North,655285,236,655285,Tuesday
Manhattan,Upper East Side South,648671,237,648671,Wednesday
Manhattan,Upper East Side South,637180,237,637180,Thursday
Manhattan,Upper East Side North,625252,236,625252,Friday
Manhattan,Upper East Side South,621363,237,621363,Tuesday
Manhattan,Midtown Center,619811,161,619811,Monday
Manhattan,Upper East Side North,588704,236,588704,Monday
Manhattan,Upper East Side South,586465,237,586465,Friday
Manhattan,Murray Hill,578211,170,578211,Thursday
Manhattan,Midtown East,576589,162,576589,Wednesday
Manhattan,East Village,573428,79,573428,Saturday
Manhattan,Midtown East,570862,162,570862,Thursday
Manhattan,Murray Hill,569124,170,569124,Wednesday
Manhattan,Murray Hill,561616,170,561616,Friday
Manhattan,Midtown East,546406,162,546406,Tuesday
Manhattan,Midtown East,546196,162,546196,Friday
Manhattan,Upper East Side South,543429,237,543429,Monday
Manhattan,Murray Hill,538203,170,538203,Tuesday
Manhattan,Times Sq/Theatre District,535073,230,535073,Wednesday
Manhattan,Times Sq/Theatre District,531794,230,531794,Friday
Manhattan,Clinton East,531528,48,531528,Saturday
Manhattan,Times Sq/Theatre District,523090,230,523090,Thursday
Manhattan,Times Sq/Theatre District,517377,230,517377,Tuesday
Manhattan,Times Sq/Theatre District,510821,230,510821,Saturday
Manhattan,Union Sq,499442,234,499442,Thursday
Manhattan,Union Sq,499173,234,499173,Wednesday
Manhattan,Upper East Side North,495426,236,495426,Saturday
Manhattan,Midtown East,492051,162,492051,Monday
Manhattan,Penn Station/Madison Sq West,487609,186,487609,Saturday
Manhattan,Union Sq,486959,234,486959,Friday
Manhattan,Murray Hill,481426,170,481426,Saturday
Manhattan,Upper East Side South,475136,237,475136,Saturday
Manhattan,Murray Hill,473792,170,473792,Monday
Manhattan,Union Sq,473022,234,473022,Tuesday
Manhattan,East Village,470786,79,470786,Sunday
Manhattan,Clinton East,469585,48,469585,Sunday
Manhattan,Times Sq/Theatre District,469577,230,469577,Monday
Manhattan,Penn Station/Madison Sq West,460490,186,460490,Friday
Manhattan,Penn Station/Madison Sq West,459410,186,459410,Sunday
Manhattan,Lincoln Square East,459286,142,459286,Saturday
Manhattan,Clinton East,454308,48,454308,Friday
Manhattan,Penn Station/Madison Sq West,448842,186,448842,Thursday
Manhattan,East Village,445483,79,445483,Friday
Manhattan,Union Sq,444519,234,444519,Saturday
Manhattan,Penn Station/Madison Sq West,439641,186,439641,Wednesday
