PU_Borough,PUHour,Trip_distance
Manhattan,16,8.76
Manhattan,8,8.76
Manhattan,9,8.76
Queens,17,8.76
Manhattan,15,8.76
Manhattan,11,8.76
Unknown,16,8.76
Brooklyn,14,8.76
Brooklyn,1,8.76
Queens,10,8.76
Brooklyn,23,8.76
Unknown,2,8.76
Brooklyn,16,8.76
Bronx,1,8.76
Manhattan,0,8.76
Unknown,9,8.76
Brooklyn,4,8.76
Unknown,20,8.76
Queens,5,8.76
Bronx,18,8.76
Manhattan,4,8.76
Queens,15,8.76
Unknown,21,8.76
Manhattan,12,8.76
Brooklyn,9,8.76
Unknown,1,8.76
Brooklyn,19,8.76
Queens,2,8.76
Unknown,12,8.76
Bronx,4,8.76
Manhattan,14,8.76
Brooklyn,7,8.76
Queens,18,8.76
Queens,0,8.76
Unknown,8,8.76
Manhattan,2,8.76
Brooklyn,5,8.76
Brooklyn,21,8.76
Queens,13,8.76
Manhattan,6,8.76
Queens,22,8.76
Manhattan,3,8.76
Bronx,15,8.76
Queens,16,8.76
Manhattan,23,8.76
Brooklyn,22,8.76
Manhattan,1,8.76
Queens,8,8.76
Queens,9,8.76
Brooklyn,11,8.76
Brooklyn,15,8.76
Queens,1,8.76
Brooklyn,2,8.76
Unknown,14,8.76
Unknown,4,8.76
Brooklyn,18,8.76
Queens,19,8.76
Bronx,21,8.76
Brooklyn,6,8.76
Manhattan,18,8.76
Brooklyn,17,8.76
Unknown,11,8.76
Brooklyn,0,8.76
Queens,12,8.76
Unknown,0,8.76
Queens,6,8.76
Queens,21,8.76
Unknown,10,8.76
Manhattan,21,8.76
Bronx,6,8.76
Manhattan,10,8.76
Brooklyn,13,8.76
Brooklyn,20,8.76
Unknown,17,8.76
Manhattan,5,8.76
Unknown,22,8.76
Brooklyn,10,8.76
Unknown,19,8.76
Unknown,15,8.76
Manhattan,19,8.76
Manhattan,7,8.76
Unknown,23,8.76
Brooklyn,3,8.76
Manhattan,20,8.76
Queens,23,8.76
Brooklyn,8,8.76
Queens,3,8.76
Queens,14,8.76
Manhattan,13,8.76
Queens,7,8.76
Queens,4,8.76
Manhattan,22,8.76
Queens,11,8.76
Manhattan,17,8.76
Queens,20,8.76
Unknown,12,8.75
Bronx,2,8.75
Unknown,11,8.75
Unknown,19,8.75
Brooklyn,4,8.75
Queens,12,8.75
Unknown,13,8.75
Manhattan,22,8.75
Manhattan,5,8.75
Unknown,22,8.75
Queens,21,8.75
Brooklyn,6,8.75
Queens,2,8.75
Manhattan,18,8.75
Queens,17,8.75
Queens,6,8.75
Brooklyn,1,8.75
Unknown,15,8.75
Unknown,14,8.75
Bronx,14,8.75
Bronx,5,8.75
Brooklyn,2,8.75
Bronx,0,8.75
Bronx,18,8.75
Unknown,17,8.75
Manhattan,20,8.75
Bronx,16,8.75
Queens,18,8.75
Manhattan,13,8.75
Unknown,6,8.75
Manhattan,11,8.75
Manhattan,16,8.75
Brooklyn,3,8.75
Manhattan,19,8.75
Queens,20,8.75
Bronx,15,8.75
Queens,14,8.75
Bronx,21,8.75
Brooklyn,10,8.75
Unknown,16,8.75
Unknown,21,8.75
Queens,13,8.75
Brooklyn,12,8.75
Queens,22,8.75
Manhattan,7,8.75
Unknown,8,8.75
Manhattan,15,8.75
Brooklyn,15,8.75
Unknown,18,8.75
Brooklyn,16,8.75
Brooklyn,5,8.75
Unknown,20,8.75
Unknown,7,8.75
Manhattan,17,8.75
Queens,16,8.75
Queens,0,8.75
Queens,15,8.75
Brooklyn,14,8.75
Queens,5,8.75
Brooklyn,9,8.75
Brooklyn,21,8.75
Queens,4,8.75
Queens,8,8.75
Manhattan,1,8.75
Queens,7,8.75
Manhattan,3,8.75
Queens,11,8.75
Manhattan,0,8.75
Manhattan,4,8.75
Manhattan,14,8.75
Manhattan,8,8.75
Unknown,1,8.75
Brooklyn,20,8.75
Brooklyn,13,8.75
Manhattan,10,8.75
Brooklyn,7,8.75
Brooklyn,22,8.75
Queens,9,8.75
Queens,23,8.75
Brooklyn,11,8.75
Queens,3,8.75
Manhattan,6,8.75
Unknown,0,8.75
Brooklyn,8,8.75
Bronx,22,8.75
Manhattan,9,8.75
Bronx,7,8.75
Queens,19,8.75
Brooklyn,19,8.75
Queens,1,8.75
Brooklyn,23,8.75
Manhattan,21,8.75
Unknown,23,8.75
Manhattan,12,8.75
Manhattan,2,8.75
Brooklyn,17,8.75
Unknown,3,8.75
Manhattan,23,8.75
Bronx,19,8.75
Queens,10,8.75
Brooklyn,0,8.75
Bronx,11,8.74
Brooklyn,13,8.74
Brooklyn,1,8.74
Unknown,8,8.74
Queens,2,8.74
Queens,1,8.74
Unknown,6,8.74
Manhattan,5,8.74
Unknown,4,8.74
Brooklyn,18,8.74
Brooklyn,14,8.74
Queens,5,8.74
Manhattan,18,8.74
Manhattan,12,8.74
Manhattan,19,8.74
Queens,6,8.74
Manhattan,15,8.74
Unknown,17,8.74
Unknown,19,8.74
Queens,9,8.74
Bronx,20,8.74
Brooklyn,0,8.74
Brooklyn,4,8.74
Queens,11,8.74
Manhattan,21,8.74
Queens,19,8.74
Unknown,13,8.74
Unknown,14,8.74
Manhattan,6,8.74
Manhattan,23,8.74
Manhattan,1,8.74
Queens,4,8.74
Queens,3,8.74
Brooklyn,16,8.74
Unknown,16,8.74
Unknown,7,8.74
Brooklyn,21,8.74
Queens,20,8.74
Queens,21,8.74
Queens,23,8.74
Brooklyn,23,8.74
Manhattan,4,8.74
Queens,15,8.74
Unknown,20,8.74
Unknown,23,8.74
Brooklyn,3,8.74
Unknown,12,8.74
Brooklyn,17,8.74
Manhattan,3,8.74
Manhattan,11,8.74
Manhattan,13,8.74
Bronx,10,8.74
Queens,14,8.74
Bronx,7,8.74
Bronx,6,8.74
Queens,10,8.74
Queens,16,8.74
Brooklyn,12,8.74
Manhattan,20,8.74
Queens,17,8.74
Unknown,3,8.74
Queens,7,8.74
Brooklyn,6,8.74
Brooklyn,11,8.74
Brooklyn,10,8.74
Unknown,9,8.74
Manhattan,10,8.74
Unknown,15,8.74
Brooklyn,19,8.74
Brooklyn,22,8.74
Bronx,22,8.74
Brooklyn,5,8.74
Manhattan,8,8.74
Bronx,0,8.74
Queens,13,8.74
Unknown,11,8.74
Queens,8,8.74
Brooklyn,8,8.74
Manhattan,0,8.74
Manhattan,14,8.74
Manhattan,16,8.74
Manhattan,22,8.74
Manhattan,7,8.74
Unknown,22,8.74
Queens,12,8.74
Brooklyn,15,8.74
Manhattan,17,8.74
Manhattan,2,8.74
Bronx,4,8.74
Queens,22,8.74
Brooklyn,2,8.74
Bronx,8,8.74
Unknown,21,8.74
Brooklyn,9,8.74
Unknown,10,8.74
Unknown,18,8.74
Queens,0,8.74
Manhattan,9,8.74
Queens,18,8.74
Brooklyn,20,8.74
Brooklyn,7,8.74
Brooklyn,19,8.73
Brooklyn,2,8.73
Bronx,19,8.73
Brooklyn,18,8.73
Manhattan,18,8.73
Brooklyn,4,8.73
Unknown,4,8.73
Brooklyn,20,8.73
Unknown,14,8.73
Brooklyn,5,8.73
Brooklyn,17,8.73
Unknown,21,8.73
Brooklyn,0,8.73
Brooklyn,1,8.73
Manhattan,19,8.73
Bronx,14,8.73
Brooklyn,12,8.73
Manhattan,9,8.73
Bronx,17,8.73
Brooklyn,15,8.73
Queens,0,8.73
Queens,11,8.73
Brooklyn,7,8.73
Manhattan,7,8.73
Queens,1,8.73
Queens,18,8.73
Brooklyn,6,8.73
Bronx,23,8.73
Brooklyn,14,8.73
Manhattan,10,8.73
Queens,7,8.73
Queens,6,8.73
Manhattan,17,8.73
Unknown,20,8.73
Queens,15,8.73
Brooklyn,21,8.73
Queens,20,8.73
Manhattan,20,8.73
Brooklyn,9,8.73
Unknown,7,8.73
Brooklyn,13,8.73
Queens,21,8.73
Brooklyn,22,8.73
Unknown,19,8.73
Manhattan,5,8.73
Manhattan,8,8.73
Unknown,9,8.73
Brooklyn,3,8.73
Brooklyn,23,8.73
Unknown,17,8.73
Brooklyn,11,8.73
Unknown,1,8.73
Manhattan,23,8.73
Queens,8,8.73
Manhattan,1,8.73
Brooklyn,16,8.73
Unknown,12,8.73
Queens,9,8.73
Manhattan,2,8.73
Queens,4,8.73
Manhattan,6,8.73
Queens,13,8.73
Bronx,6,8.73
Manhattan,0,8.73
Manhattan,12,8.73
Queens,5,8.73
Manhattan,22,8.73
Manhattan,16,8.73
Queens,2,8.73
Unknown,13,8.73
Queens,10,8.73
Manhattan,3,8.73
Queens,17,8.73
Queens,22,8.73
Bronx,13,8.73
Manhattan,15,8.73
Unknown,22,8.73
Unknown,2,8.73
Bronx,21,8.73
Manhattan,21,8.73
Manhattan,11,8.73
Queens,14,8.73
Unknown,23,8.73
Unknown,10,8.73
Bronx,0,8.73
Unknown,6,8.73
Unknown,8,8.73
Queens,16,8.73
Manhattan,4,8.73
Queens,12,8.73
Queens,19,8.73
Brooklyn,8,8.73
Unknown,0,8.73
Brooklyn,10,8.73
Manhattan,13,8.73
Manhattan,14,8.73
Queens,23,8.73
Bronx,3,8.73
Unknown,16,8.73
Bronx,9,8.73
Queens,3,8.73
Queens,23,8.72
Unknown,2,8.72
Brooklyn,9,8.72
Queens,6,8.72
Bronx,14,8.72
Unknown,12,8.72
Brooklyn,14,8.72
Queens,1,8.72
Unknown,14,8.72
Brooklyn,18,8.72
Unknown,23,8.72
Queens,9,8.72
Brooklyn,8,8.72
Unknown,7,8.72
Brooklyn,15,8.72
Bronx,7,8.72
Queens,3,8.72
Manhattan,12,8.72
Manhattan,3,8.72
Manhattan,22,8.72
Queens,22,8.72
Brooklyn,20,8.72
Bronx,6,8.72
Manhattan,0,8.72
Manhattan,11,8.72
Queens,19,8.72
Queens,15,8.72
Queens,14,8.72
Bronx,11,8.72
Unknown,22,8.72
Brooklyn,13,8.72
Brooklyn,4,8.72
Unknown,4,8.72
Queens,21,8.72
Queens,7,8.72
Brooklyn,11,8.72
Queens,8,8.72
Brooklyn,0,8.72
Manhattan,17,8.72
Manhattan,8,8.72
Brooklyn,10,8.72
Manhattan,7,8.72
Manhattan,2,8.72
Unknown,9,8.72
Brooklyn,21,8.72
Brooklyn,16,8.72
Bronx,16,8.72
Queens,12,8.72
Manhattan,21,8.72
Unknown,8,8.72
Brooklyn,3,8.72
Manhattan,13,8.72
Unknown,11,8.72
Unknown,6,8.72
Queens,17,8.72
Queens,16,8.72
Manhattan,16,8.72
Unknown,10,8.72
Brooklyn,23,8.72
Manhattan,15,8.72
Manhattan,5,8.72
Manhattan,19,8.72
Manhattan,10,8.72
Manhattan,4,8.72
Unknown,17,8.72
Unknown,13,8.72
Queens,5,8.72
Unknown,19,8.72
Unknown,16,8.72
Brooklyn,6,8.72
Unknown,15,8.72
Brooklyn,19,8.72
Manhattan,23,8.72
Manhattan,1,8.72
Brooklyn,5,8.72
Brooklyn,22,8.72
Queens,4,8.72
Queens,20,8.72
Unknown,20,8.72
Manhattan,20,8.72
Queens,11,8.72
Brooklyn,2,8.72
Queens,18,8.72
Bronx,8,8.72
Brooklyn,7,8.72
Queens,0,8.72
Manhattan,18,8.72
Brooklyn,1,8.72
Unknown,18,8.72
Queens,10,8.72
Brooklyn,17,8.72
Unknown,5,8.72
Unknown,3,8.72
Manhattan,14,8.72
Manhattan,6,8.72
Queens,13,8.72
Manhattan,9,8.72
Queens,2,8.72
Manhattan,4,8.71
Unknown,6,8.71
Brooklyn,17,8.71
Unknown,5,8.71
Queens,1,8.71
Queens,11,8.71
Queens,10,8.71
Manhattan,3,8.71
Bronx,14,8.71
Brooklyn,9,8.71
Queens,20,8.71
Brooklyn,23,8.71
Brooklyn,11,8.71
Unknown,11,8.71
Unknown,21,8.71
Unknown,10,8.71
Bronx,9,8.71
Bronx,2,8.71
Manhattan,21,8.71
Unknown,1,8.71
Brooklyn,12,8.71
Queens,14,8.71
Bronx,16,8.71
Brooklyn,2,8.71
Brooklyn,14,8.71
Manhattan,2,8.71
Queens,5,8.71
Unknown,22,8.71
Manhattan,6,8.71
Queens,17,8.71
Manhattan,1,8.71
Queens,8,8.71
Unknown,20,8.71
Unknown,9,8.71
Manhattan,20,8.71
Queens,18,8.71
Manhattan,5,8.71
Queens,16,8.71
Unknown,17,8.71
Brooklyn,20,8.71
Bronx,6,8.71
Manhattan,13,8.71
Bronx,20,8.71
Unknown,13,8.71
Manhattan,0,8.71
Manhattan,11,8.71
Manhattan,12,8.71
Unknown,19,8.71
Manhattan,9,8.71
Queens,9,8.71
Manhattan,23,8.71
Manhattan,15,8.71
Brooklyn,3,8.71
Brooklyn,13,8.71
Manhattan,22,8.71
Manhattan,16,8.71
Brooklyn,22,8.71
Manhattan,18,8.71
Manhattan,7,8.71
Brooklyn,19,8.71
Unknown,18,8.71
Unknown,3,8.71
Unknown,15,8.71
Queens,19,8.71
Brooklyn,8,8.71
Queens,0,8.71
Manhattan,19,8.71
Brooklyn,7,8.71
Bronx,23,8.71
Manhattan,8,8.71
Manhattan,14,8.71
Brooklyn,5,8.71
Queens,6,8.71
Bronx,5,8.71
Unknown,14,8.71
Queens,12,8.71
Brooklyn,15,8.71
Queens,2,8.71
Bronx,1,8.71
Bronx,13,8.71
Queens,22,8.71
Unknown,16,8.71
Brooklyn,16,8.71
Unknown,4,8.71
Manhattan,10,8.71
Brooklyn,10,8.71
Bronx,19,8.71
Queens,21,8.71
Brooklyn,1,8.71
Brooklyn,6,8.71
Brooklyn,4,8.71
Brooklyn,0,8.71
Queens,3,8.71
Brooklyn,21,8.71
Unknown,7,8.71
Unknown,23,8.71
Unknown,0,8.71
Queens,7,8.71
Queens,23,8.71
Brooklyn,18,8.71
Queens,4,8.71
Queens,15,8.71
Queens,13,8.71
Manhattan,17,8.71
Queens,1,8.7
Queens,8,8.7
Queens,4,8.7
Manhattan,19,8.7
Queens,13,8.7
Manhattan,18,8.7
Queens,20,8.7
Queens,14,8.7
Unknown,16,8.7
Unknown,12,8.7
Manhattan,14,8.7
Bronx,14,8.7
Manhattan,1,8.7
Manhattan,13,8.7
Manhattan,6,8.7
Unknown,3,8.7
Brooklyn,15,8.7
Bronx,4,8.7
Queens,22,8.7
Bronx,2,8.7
Queens,15,8.7
Brooklyn,11,8.7
Unknown,2,8.7
Bronx,21,8.7
Bronx,7,8.7
Bronx,10,8.7
Brooklyn,6,8.7
Bronx,13,8.7
Queens,17,8.7
Brooklyn,3,8.7
Unknown,6,8.7
Brooklyn,21,8.7
Brooklyn,2,8.7
Brooklyn,1,8.7
Brooklyn,5,8.7
Unknown,1,8.7
Queens,5,8.7
Brooklyn,16,8.7
Queens,18,8.7
Manhattan,15,8.7
Bronx,18,8.7
Bronx,12,8.7
Bronx,17,8.7
Unknown,10,8.7
Queens,16,8.7
Manhattan,0,8.7
Manhattan,8,8.7
Unknown,22,8.7
Manhattan,20,8.7
Brooklyn,13,8.7
Unknown,19,8.7
Queens,6,8.7
Brooklyn,18,8.7
Unknown,17,8.7
Unknown,20,8.7
Bronx,0,8.7
Bronx,9,8.7
Brooklyn,0,8.7
Brooklyn,8,8.7
Manhattan,4,8.7
Queens,3,8.7
Bronx,16,8.7
Unknown,14,8.7
Brooklyn,10,8.7
Queens,0,8.7
Queens,19,8.7
Manhattan,11,8.7
Queens,23,8.7
Manhattan,3,8.7
Unknown,23,8.7
Staten Island,22,8.7
Unknown,7,8.7
Queens,11,8.7
Bronx,22,8.7
Queens,21,8.7
Unknown,4,8.7
Manhattan,21,8.7
Brooklyn,19,8.7
Unknown,21,8.7
Manhattan,17,8.7
Manhattan,16,8.7
Bronx,8,8.7
Bronx,23,8.7
Manhattan,10,8.7
Manhattan,5,8.7
Queens,12,8.7
Unknown,5,8.7
Unknown,8,8.7
Unknown,15,8.7
Brooklyn,20,8.7
Manhattan,12,8.7
Brooklyn,7,8.7
Unknown,0,8.7
Unknown,18,8.7
Bronx,20,8.7
Brooklyn,12,8.7
Bronx,3,8.7
Bronx,6,8.7
Unknown,13,8.7
Brooklyn,4,8.7
Queens,10,8.7
Bronx,15,8.7
Queens,2,8.7
Brooklyn,23,8.7
Manhattan,9,8.7
Queens,7,8.7
Manhattan,23,8.7
Brooklyn,9,8.7
Unknown,11,8.7
Queens,9,8.7
Manhattan,7,8.7
Manhattan,2,8.7
Bronx,1,8.7
Unknown,9,8.7
Bronx,5,8.7
Brooklyn,22,8.7
Bronx,11,8.7
Brooklyn,14,8.7
Brooklyn,17,8.7
Manhattan,22,8.7
Brooklyn,12,8.69
Manhattan,19,8.69
Brooklyn,9,8.69
Queens,22,8.69
Manhattan,14,8.69
Queens,14,8.69
Queens,15,8.69
Queens,12,8.69
Brooklyn,8,8.69
Brooklyn,19,8.69
Brooklyn,17,8.69
Unknown,4,8.69
Manhattan,8,8.69
Unknown,5,8.69
Manhattan,23,8.69
Manhattan,21,8.69
Brooklyn,20,8.69
Unknown,20,8.69
Bronx,7,8.69
Bronx,1,8.69
Queens,21,8.69
Unknown,9,8.69
Queens,7,8.69
Brooklyn,16,8.69
Unknown,0,8.69
Unknown,18,8.69
Queens,2,8.69
Brooklyn,13,8.69
Queens,11,8.69
Manhattan,9,8.69
Manhattan,5,8.69
Unknown,21,8.69
Manhattan,4,8.69
Queens,17,8.69
Brooklyn,22,8.69
Brooklyn,15,8.69
Manhattan,15,8.69
Manhattan,11,8.69
Queens,18,8.69
Manhattan,10,8.69
Brooklyn,3,8.69
Brooklyn,23,8.69
Manhattan,18,8.69
Unknown,22,8.69
Unknown,6,8.69
Manhattan,1,8.69
Unknown,23,8.69
Manhattan,17,8.69
Unknown,3,8.69
Unknown,16,8.69
Manhattan,6,8.69
Unknown,15,8.69
Manhattan,22,8.69
Queens,13,8.69
Manhattan,2,8.69
Queens,3,8.69
Queens,4,8.69
Brooklyn,11,8.69
Manhattan,20,8.69
Manhattan,0,8.69
Unknown,8,8.69
Brooklyn,7,8.69
Queens,16,8.69
Queens,10,8.69
Queens,5,8.69
Queens,19,8.69
Brooklyn,18,8.69
Unknown,19,8.69
Queens,20,8.69
Queens,1,8.69
Unknown,10,8.69
Manhattan,13,8.69
Brooklyn,0,8.69
Brooklyn,6,8.69
Unknown,7,8.69
Bronx,23,8.69
Unknown,11,8.69
Brooklyn,4,8.69
Brooklyn,10,8.69
Brooklyn,2,8.69
Manhattan,12,8.69
Queens,23,8.69
Brooklyn,5,8.69
Manhattan,16,8.69
Unknown,17,8.69
Queens,6,8.69
Queens,9,8.69
Manhattan,3,8.69
Brooklyn,14,8.69
Queens,8,8.69
Brooklyn,21,8.69
Bronx,0,8.69
