PUWeekday,PUHour,avg(total_amount)
Wednesday,5,19.089902229243993
Wednesday,16,19.077537723339372
Wednesday,22,17.36793185910113
Saturday,4,17.340843505550925
Thursday,18,16.86380566091413
Thursday,21,16.846911833638423
Wednesday,1,16.735496698686763
Thursday,3,16.693994242661088
Wednesday,21,16.410811356438657
Friday,22,16.405827827416836
Friday,14,17.406608962481076
Thursday,13,17.381578061456967
Wednesday,12,16.47246880783859
Saturday,0,16.46615087076457
Tuesday,20,15.760433139195866
Saturday,1,15.759476850049484
Sunday,10,14.186001748421385
Saturday,11,13.979460838660781
Tuesday,15,16.455111908061937
Sunday,18,16.441657336249158
Tuesday,18,16.367706769743485
Monday,21,16.360451942167206
Wednesday,7,14.43811934009089
Sunday,11,14.365675269532305
Wednesday,4,19.894871792197996
Friday,4,19.87360190492057
Friday,0,17.151944756436713
Tuesday,23,17.129717574830707
Sunday,13,16.767516269975697
Sunday,20,16.766376406015166
Wednesday,2,16.14564174643296
Monday,6,16.118497067626635
Friday,20,15.73758447115858
Saturday,3,15.721142952916116
Friday,17,17.70996780800004
Sunday,22,17.623689878569994
Sunday,21,17.00907155941748
Friday,13,16.996076421054635
Thursday,2,15.87025194556024
Monday,20,15.79573983324211
Monday,7,15.2331396999761
Saturday,20,15.211272186859201
Tuesday,6,14.617861802534332
Saturday,8,14.5715762797429
Monday,0,18.617645073619766
Sunday,23,18.60244201439363
Sunday,2,15.97836871727541
Monday,18,15.966897712656117
Monday,19,15.647809906134801
Friday,9,15.64539018832999
Sunday,1,15.140923481983068
Friday,8,15.039462976562426
Monday,16,18.18727418243055
Sunday,7,18.05998278313338
Sunday,16,17.05551551659177
Sunday,4,17.05040396820034
Tuesday,2,16.432132344471324
Monday,11,16.421293840448
Wednesday,17,18.208988305096867
Wednesday,15,17.098979301020048
Wednesday,23,17.091037671423106
Wednesday,11,16.340490911710525
Wednesday,20,15.988815399540185
Thursday,17,18.544074102589317
Thursday,14,17.718772878631395
Wednesday,14,17.30652698592764
Thursday,22,17.251714353062166
Wednesday,0,17.229433027495574
Wednesday,10,17.22900517024448
Wednesday,13,17.08028106021235
Wednesday,18,16.65977033744633
Thursday,11,16.571271079269057
Thursday,10,16.157777332185432
Saturday,23,15.872617346723299
Wednesday,9,15.554823969853603
Saturday,22,15.491061290921117
Saturday,15,15.490675548570723
Saturday,16,15.436959034441353
Saturday,14,15.388805196791578
Saturday,17,15.350702399890041
Saturday,21,15.329369979736947
Saturday,19,15.015139218527656
Wednesday,8,14.940485544352475
Saturday,13,14.898024966350649
Wednesday,6,14.856301960750347
Saturday,18,14.695210529021216
Saturday,12,14.342129296134924
Saturday,10,13.821240986762549
Thursday,4,19.861658663727148
Tuesday,16,18.544639638988453
Thursday,23,17.43215582619068
Tuesday,17,17.249827009712902
Thursday,0,17.009863880441706
Wednesday,3,16.75445648333511
Thursday,12,16.74948367116462
Tuesday,14,16.656554035347874
Thursday,19,16.41261709616251
Tuesday,13,16.390720618774722
Tuesday,21,16.252727057215427
Thursday,20,16.21160633356667
Wednesday,19,16.1155641601039
Tuesday,11,16.085848182496743
Tuesday,12,16.040904889003055
Tuesday,10,16.008607504485248
Tuesday,19,15.747965061302404
Thursday,8,15.446140634654498
Thursday,6,15.185017616827963
Thursday,7,14.455440146013892
Saturday,9,13.671257370349592
Saturday,5,20.80111571497339
Tuesday,4,19.743321708383153
Thursday,5,19.50289318172846
Thursday,16,19.2223864278707
Saturday,6,18.89944557702836
Tuesday,5,18.655266805902155
Monday,23,17.774248626584775
Tuesday,22,17.77088754301848
Thursday,15,17.5927852585797
Friday,15,17.232241594034157
Tuesday,3,17.094551738750262
Sunday,15,16.948088929367362
Sunday,17,16.887042201516927
Friday,23,16.783501959708378
Sunday,14,16.679920281099324
Friday,12,16.520440015998105
Monday,15,16.475626833127844
Monday,13,16.346610266879708
Thursday,9,16.33015637039193
Friday,11,16.299970171577122
Thursday,1,16.23229961085284
Friday,21,16.173192564323422
Saturday,7,16.08512732107452
Sunday,19,16.047125997647367
Friday,19,16.007901850337156
Tuesday,9,15.456680685840274
Saturday,2,15.28970485504639
Tuesday,8,14.939430585453112
Sunday,12,14.931108576944656
Sunday,5,20.666197387710266
Friday,16,18.78769494555356
Tuesday,0,17.93271352310482
Monday,3,17.486730885358607
Tuesday,1,17.28835386502326
Monday,17,16.88415520770052
Monday,2,16.801519142547562
Monday,22,16.77655146589556
Friday,3,16.660662453294687
Monday,14,16.57772353811835
Friday,1,16.555677780682316
Friday,18,16.46096478806466
Monday,10,16.15090715097123
Friday,10,16.02371907812163
Friday,2,15.997017210646332
Monday,9,15.913893609928085
Sunday,3,15.627502059756921
Sunday,8,15.534077068207928
Monday,8,15.499237592196904
Friday,7,14.685157665009317
Tuesday,7,14.35819318247489
Sunday,9,14.234471128475835
Monday,5,20.90897227680635
Monday,4,21.07268091924115
Friday,5,20.57816142654585
Sunday,6,20.37913786687671
Monday,12,16.0300207179286
Sunday,0,15.53462303467201
Monday,1,17.8111063109734
Friday,6,15.9520640256745
