PUWeekday,PUHour,avg(tip_amount)
Wednesday,20,1.9731339564227173
Thursday,15,1.9723982730013365
Wednesday,22,2.081221846788386
Thursday,21,2.0762406883425775
Wednesday,4,1.9420810435979512
Thursday,19,1.940229856380347
Monday,20,1.9157936456325388
Wednesday,13,1.9080082093209145
Saturday,2,1.6883136875230997
Saturday,22,1.6809772622537749
Saturday,8,1.5523298074937453
Saturday,18,1.5456611863310785
Saturday,5,2.015292723149866
Wednesday,17,2.012506594889144
Friday,23,1.922652702855168
Wednesday,19,1.9176592709585274
Thursday,10,1.8521886374486827
Friday,21,1.8513878813236777
Saturday,1,1.7748089584687545
Thursday,1,1.7727822792531578
Sunday,12,1.6012007844913936
Saturday,15,1.5951356230598845
Saturday,9,1.453815311516881
Saturday,10,1.4522714717283356
Thursday,4,1.9951133178879707
Sunday,22,1.9902793554408278
Wednesday,14,1.939328939293353
Monday,16,1.931622729341398
Tuesday,18,1.8862444372703235
Friday,15,1.8822385533157298
Sunday,16,1.862919123940756
Thursday,11,1.8598451717673037
Tuesday,15,1.814241298560184
Tuesday,11,1.8134408869620875
Wednesday,3,1.5158555047590492
Monday,3,1.5052508361204011
Thursday,8,1.8461611482373332
Friday,9,1.8428370919092245
Monday,10,1.815102401175829
Tuesday,13,1.8143724391107001
Tuesday,1,1.7989768163761461
Friday,11,1.7944067626170603
Monday,12,1.7459845787717552
Tuesday,7,1.7270218173145249
Sunday,0,1.7231515934202444
Wednesday,6,1.706773323718344
Sunday,8,1.6060666534267123
Thursday,2,1.6048194212477633
Tuesday,5,2.066834908886608
Tuesday,22,2.055396590933859
Monday,22,2.0427325049233116
Monday,4,2.0366566865268116
Tuesday,0,2.0086681307364684
Friday,4,2.0023730514716065
Monday,9,1.8756491699061206
Friday,13,1.8706939166487289
Monday,18,1.838978157416727
Monday,19,1.8384644760384072
Tuesday,10,1.837243365565374
Sunday,7,1.8355614829113887
Friday,8,1.8260174303940426
Friday,12,1.8242769797689622
Sunday,1,1.6911617039198446
Sunday,13,1.6906423575905347
Saturday,0,1.86800536717467
Monday,8,1.8649583072884168
Sunday,2,1.665882368755231
Tuesday,6,1.6543786819547253
Friday,3,1.643370087026438
Sunday,3,1.6416885364415457
Wednesday,16,2.1038169218992264
Wednesday,23,2.0696937785423333
Wednesday,21,2.0495670383032265
Wednesday,15,1.9242587732767573
Wednesday,10,1.8699931216237085
Wednesday,11,1.8556053512869823
Wednesday,12,1.8508425119637917
Wednesday,5,2.1678322508922823
Thursday,16,2.1406509892490186
Thursday,23,2.1119118441108364
Thursday,17,2.0358363685869154
Thursday,14,1.9804719333242404
Thursday,20,1.9709097095605024
Thursday,18,1.9511305611687628
Wednesday,18,1.945970759179455
Wednesday,9,1.8804653438126722
Wednesday,1,1.7841219829965749
Wednesday,7,1.7540886814618124
Saturday,21,1.6398233299326104
Saturday,20,1.6113307676366975
Wednesday,2,1.5830997402412545
Saturday,14,1.5744642749409477
Saturday,11,1.4677376143018355
Thursday,5,2.2293642675083296
Thursday,22,2.128645758230016
Tuesday,21,2.0215099313961526
Tuesday,16,1.9880157457011676
Thursday,0,1.9749204991832399
Wednesday,0,1.968437948894327
Saturday,6,1.9578526888741556
Thursday,13,1.948941888769179
Tuesday,20,1.9425637739802861
Tuesday,19,1.8818203138793637
Thursday,12,1.881189061288386
Wednesday,8,1.841114292462461
Tuesday,14,1.8301565773731314
Tuesday,12,1.7828951505836925
Saturday,23,1.746979516398329
Saturday,7,1.6973651271488541
Saturday,3,1.6505848147880864
Saturday,4,1.6264563912700416
Saturday,17,1.590362370313939
Saturday,16,1.582028388766549
Thursday,3,1.5807947437628826
Saturday,13,1.542579390340364
Saturday,12,1.504254753166982
Monday,23,2.0822249908043524
Tuesday,23,2.053948000374581
Friday,16,2.0350136482293606
Monday,21,2.0107275959543283
Tuesday,17,1.950082393910714
Friday,17,1.9435917368041837
Friday,14,1.9052761485662584
Sunday,20,1.8916580230325772
Monday,17,1.8804453301577861
Tuesday,4,1.8793261161768449
Thursday,9,1.877763455930984
Friday,22,1.8770534981823528
Sunday,15,1.8261962191877485
Friday,19,1.8049441431744553
Sunday,19,1.8036505524536506
Friday,20,1.8030158448755789
Sunday,18,1.8027958649568188
Monday,14,1.7894532290424117
Sunday,14,1.7773188955113022
Monday,11,1.7764294678552492
Monday,13,1.7763192595665511
Monday,15,1.7671025578562753
Thursday,7,1.755500260189919
Thursday,6,1.751046942884389
Tuesday,2,1.5834784727575597
Saturday,19,1.53794702871177
Sunday,11,1.5186634674026538
Tuesday,3,1.5011163492862254
Sunday,10,1.4894766714297127
Sunday,23,2.052741067603459
Friday,0,2.0200843752668973
Sunday,21,1.928179218303147
Sunday,5,1.8787223814366272
Sunday,17,1.852847458611958
Friday,1,1.8507475637531239
Tuesday,9,1.847732366026333
Monday,6,1.8308497334426388
Tuesday,8,1.823915331352855
Friday,10,1.789788263871826
Friday,7,1.7607869094081563
Friday,2,1.6758930698155934
Sunday,4,1.5609697660975008
Monday,2,1.5209184252231207
Sunday,9,1.4851174993478329
Friday,5,2.347255007306799
Monday,5,2.339225833944932
Sunday,6,2.002280258238285
Friday,18,1.84110899875035
Friday,6,1.840182016820109
Monday,7,1.803729404946541
Monday,1,1.747089574571115
Monday,0,1.96847531251348
