PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),payment_type
Queens,Broad Channel,1,30,1,4
Staten Island,Oakwood,1,176,1,3
Queens,Far Rockaway,1,86,1,4
Queens,Rockaway Park,1,201,1,4
Manhattan,Lenox Hill West,1,141,1,5
Manhattan,Governor's Island/Ellis Island/Liberty Island,1,104,1,1
Staten Island,West Brighton,1,245,1,3
Queens,Hollis,1,122,1,4
Manhattan,Lenox Hill East,1,140,1,5
Staten Island,Port Richmond,1,187,1,3
Queens,Bay Terrace/Fort Totten,1,15,1,4
Bronx,Crotona Park,1,59,1,3
Staten Island,Great Kills,1,109,1,4
Manhattan,Governor's Island/Ellis Island/Liberty Island,1,103,1,1
Staten Island,South Beach/Dongan Hills,1,214,1,4
Staten Island,Mariners Harbor,1,156,1,4
Bronx,Pelham Bay Park,1,184,1,4
Bronx,Crotona Park,1,59,1,4
Bronx,City Island,1,46,1,3
Queens,Jamaica Bay,1,2,1,3
Bronx,Co-Op City,1,51,1,4
Queens,Forest Park/Highland Park,1,96,1,4
Manhattan,East Harlem North,1,74,1,5
Bronx,Allerton/Pelham Gardens,1,3,1,4
Staten Island,Heartland Village/Todt Hill,1,118,1,4
Bronx,Eastchester,1,81,1,4
Brooklyn,Manhattan Beach,7,150,7,4
Queens,Corona,7,57,7,3
Bronx,Riverdale/North Riverdale/Fieldston,7,200,7,4
Bronx,Longwood,7,147,7,4
Brooklyn,Bath Beach,7,11,7,4
Staten Island,Mariners Harbor,7,156,7,3
Queens,Cambria Heights,7,38,7,3
Queens,Springfield Gardens North,7,218,7,4
Queens,East Flushing,7,73,7,4
Staten Island,Saint George/New Brighton,7,206,7,3
Brooklyn,Bensonhurst East,7,21,7,4
Bronx,Woodlawn/Wakefield,7,259,7,4
Queens,Hillcrest/Pomonok,7,121,7,4
Bronx,Rikers Island,7,199,7,2
Bronx,Bronxdale,2,32,2,4
Staten Island,Arden Heights,2,5,2,3
Manhattan,Governor's Island/Ellis Island/Liberty Island,2,105,2,3
Staten Island,Port Richmond,2,187,2,4
Staten Island,Charleston/Tottenville,2,44,2,3
Queens,Breezy Point/Fort Tilden/Riis Beach,2,27,2,3
Manhattan,Inwood Hill Park,2,128,2,4
Bronx,Pelham Bay,2,183,2,3
Staten Island,Great Kills,2,109,2,3
Brooklyn,Starrett City,2,222,2,3
Brooklyn,Marine Park/Floyd Bennett Field,2,154,2,4
Staten Island,Freshkills Park,2,99,2,2
Staten Island,Westerleigh,6,251,6,3
Bronx,Crotona Park East,6,60,6,4
Staten Island,Bloomfield/Emerson Hill,6,23,6,4
Queens,Auburndale,6,9,6,4
Bronx,Fordham South,6,94,6,4
Queens,Saint Albans,6,205,6,4
