DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Manhattan,Sutton Place/Turtle Bay North,1988096,229,1988096
Manhattan,Lenox Hill East,1961533,140,1961533
Manhattan,Meatpacking/West Village West,1256038,158,1256038
Manhattan,Lower East Side,1253006,148,1253006
Staten Island,Eltingville/Annadale/Prince's Bay,776,84,776
Staten Island,Rossville/Woodrow,652,204,652
Manhattan,Central Harlem North,489445,42,489445
Manhattan,Financial District South,487325,88,487325
Queens,Forest Park/Highland Park,2074,96,2074
Staten Island,Saint George/New Brighton,2063,206,2063
Manhattan,Times Sq/Theatre District,3522210,230,3522210
Manhattan,Midtown East,3450232,162,3450232
Manhattan,Upper West Side South,2726117,239,2726117
Manhattan,Lenox Hill West,2596265,141,2596265
Manhattan,Midtown Center,4197830,161,4197830
Manhattan,Upper East Side North,4150922,236,4150922
Bronx,Melrose South,34393,159,34393
Bronx,Riverdale/North Riverdale/Fieldston,34316,200,34316
Queens,Bay Terrace/Fort Totten,9647,15,9647
Bronx,Westchester Village/Unionport,9390,250,9390
Manhattan,East Harlem North,867990,74,867990
Manhattan,Morningside Heights,849373,166,849373
Brooklyn,East New York/Pennsylvania Avenue,7606,77,7606
Bronx,Crotona Park East,6981,60,6981
Manhattan,Clinton East,3075407,48,3075407
Manhattan,Lincoln Square East,2930647,142,2930647
Manhattan,Gramercy,2396439,107,2396439
Manhattan,Upper West Side North,2237984,238,2237984
Brooklyn,Boerum Hill,214973,25,214973
Manhattan,Washington Heights North,210763,243,210763
Brooklyn,Dyker Heights,17354,67,17354
Brooklyn,East Flatbush/Remsen Village,16897,72,16897
Brooklyn,Downtown Brooklyn/MetroTech,223448,65,223448
EWR,Newark Airport,220031,1,220031
Queens,Queensbridge/Ravenswood,78316,193,78316
Brooklyn,Sunset Park West,75099,228,75099
Bronx,University Heights/Morris Heights,20618,235,20618
Brooklyn,Canarsie,20454,39,20454
Brooklyn,Brooklyn Heights,334561,33,334561
Manhattan,Hamilton Heights,319299,116,319299
Staten Island,Port Richmond,596,187,596
Staten Island,Charleston/Tottenville,414,44,414
Manhattan,Clinton West,1318546,50,1318546
Queens,LaGuardia Airport,1315007,138,1315007
Manhattan,World Trade Center,588362,261,588362
Manhattan,Alphabet City,567265,4,567265
Brooklyn,Marine Park/Floyd Bennett Field,967,154,967
Bronx,Pelham Bay Park,810,184,810
Staten Island,Mariners Harbor,1284,156,1284
Staten Island,West Brighton,1194,245,1194
Manhattan,Garment District,1753836,100,1753836
Manhattan,Flatiron,1721951,90,1721951
Bronx,West Farms/Bronx River,12409,248,12409
Brooklyn,Sheepshead Bay,12077,210,12077
Brooklyn,Windsor Terrace,59058,257,59058
Manhattan,Roosevelt Island,51297,202,51297
Manhattan,Randalls Island,15762,194,15762
Queens,Murray Hill-Queens,15647,171,15647
Brooklyn,DUMBO/Vinegar Hill,170565,66,170565
Queens,Old Astoria,166252,179,166252
Brooklyn,Fort Greene,200599,97,200599
Manhattan,Manhattanville,196861,152,196861
Queens,Briarwood/Jamaica Hills,26838,28,26838
Queens,Kew Gardens,26766,134,26766
Bronx,Spuyten Duyvil/Kingsbridge,41565,220,41565
Queens,Maspeth,39760,157,39760
Brooklyn,Carroll Gardens,134547,40,134547
Queens,Forest Hills,132556,95,132556
Brooklyn,Bay Ridge,88169,14,88169
Bronx,Mott Haven/Port Morris,87142,168,87142
Bronx,City Island,1650,46,1650
Staten Island,Grymes Hill/Clifton,1575,115,1575
Brooklyn,Park Slope,397845,181,397845
Manhattan,Bloomingdale,362256,24,362256
Brooklyn,Flatlands,18487,91,18487
Bronx,Van Cortlandt Village,18314,241,18314
Queens,Kew Gardens Hills,23834,135,23834
Brooklyn,Ocean Hill,23752,177,23752
Queens,East Elmhurst,45977,70,45977
Queens,South Ozone Park,44464,216,44464
Queens,Hammels/Arverne,4300,117,4300
Bronx,Van Cortlandt Park,3517,240,3517
Bronx,Soundview/Bruckner,14278,212,14278
Bronx,Hunts Point,13901,126,13901
Brooklyn,Cypress Hills,12814,63,12814
Bronx,Pelham Parkway,12722,185,12722
Brooklyn,Ocean Parkway South,8850,178,8850
Queens,Ozone Park,8704,180,8704
Bronx,Allerton/Pelham Gardens,6241,3,6241
Brooklyn,Gravesend,6226,108,6226
Brooklyn,Bushwick North,108824,36,108824
Queens,Elmhurst,103109,82,103109
Brooklyn,Homecrest,15082,123,15082
Queens,Jamaica Estates,14735,131,14735
Queens,College Point,11685,53,11685
Queens,Queens Village,11585,191,11585
Queens,Sunnyside,297985,226,297985
Brooklyn,Greenpoint,296956,112,296956
Queens,Elmhurst/Maspeth,49708,83,49708
Brooklyn,Red Hook,47980,195,47980
Brooklyn,Midwood,21236,165,21236
Brooklyn,Prospect Park,20736,190,20736
Brooklyn,Manhattan Beach,5729,150,5729
Queens,Far Rockaway,5584,86,5584
Queens,Hillcrest/Pomonok,16299,121,16299
Queens,Bayside,16047,16,16047
Bronx,Eastchester,4889,81,4889
Manhattan,Highbridge Park,4754,120,4754
Manhattan,Kips Bay,1610198,137,1610198
Unknown,NV,1543847,264,1543847
Queens,JFK Airport,998009,132,998009
