DO_Borough,CountDOL,DOHour
Staten Island,713,17
Staten Island,713,15
Staten Island,2433,22
Staten Island,2355,23
Staten Island,2240,21
Staten Island,1562,20
Staten Island,1245,19
Manhattan,6415114,18
Manhattan,6537514,19
Manhattan,5818514,20
Manhattan,5555758,21
Manhattan,5412333,15
Manhattan,5340504,14
Manhattan,5334183,17
Manhattan,5287120,22
Manhattan,5240338,12
Manhattan,5194437,13
Manhattan,4973499,16
Manhattan,4884784,11
Manhattan,4771317,10
Manhattan,4426945,23
Staten Island,2160,0
Staten Island,1616,1
Staten Island,1311,2
Staten Island,1028,3
Staten Island,883,18
Staten Island,718,13
Staten Island,697,16
Staten Island,665,14
Staten Island,653,10
Staten Island,646,11
Staten Island,632,12
Manhattan,4857965,9
Manhattan,4515727,8
Manhattan,3416772,7
Manhattan,3295186,0
Manhattan,2319209,1
Manhattan,1901291,6
Manhattan,1648702,2
Manhattan,1139830,3
Staten Island,842,4
Staten Island,602,5
Staten Island,598,9
Staten Island,510,8
Staten Island,463,6
Staten Island,455,7
Manhattan,804440,4
Manhattan,759806,5
Brooklyn,504972,23
Brooklyn,473339,22
Brooklyn,409629,21
Brooklyn,336934,20
Brooklyn,297605,19
Brooklyn,243275,18
Brooklyn,175795,17
Brooklyn,154315,15
Brooklyn,152633,16
Brooklyn,146477,14
Brooklyn,132118,13
Brooklyn,120200,12
Brooklyn,109680,11
Brooklyn,100113,10
Brooklyn,469508,0
Brooklyn,359917,1
Brooklyn,258361,2
Brooklyn,188654,3
Brooklyn,158967,4
Unknown,114752,19
Unknown,110949,18
Unknown,107778,20
Unknown,107101,21
Unknown,105993,22
Queens,303429,15
Queens,294989,16
Queens,285221,14
Queens,282054,23
Queens,272928,17
Queens,270973,18
Queens,259898,22
Queens,252656,13
Queens,251827,19
Queens,235410,21
Queens,232824,20
Queens,228985,12
Queens,206033,10
Queens,205340,11
Brooklyn,98385,9
Unknown,95527,23
Unknown,95504,15
Unknown,94767,17
Brooklyn,93160,8
Unknown,92330,14
Unknown,90744,16
Unknown,87788,13
Unknown,85854,12
Unknown,78658,11
Brooklyn,75115,5
Unknown,74990,10
Brooklyn,73787,7
Brooklyn,65750,6
Queens,283930,0
Queens,237414,1
Queens,226507,7
Queens,222419,6
Queens,218343,8
Queens,212175,9
Queens,198139,5
Queens,185268,4
Queens,182375,2
Queens,144468,3
Unknown,77446,0
Unknown,74320,9
Unknown,66551,8
Unknown,57888,1
Unknown,52096,7
Unknown,42204,2
Unknown,33359,6
Unknown,30953,3
Unknown,24318,4
Unknown,18642,5
Bronx,50786,23
Bronx,44870,22
Bronx,39786,21
Bronx,36204,20
Bronx,32598,19
Bronx,27717,18
Bronx,21364,17
Bronx,20208,15
Bronx,19637,12
Bronx,19738,16
Bronx,19256,13
Bronx,19210,14
Bronx,18939,10
Bronx,18797,11
Bronx,53241,0
Bronx,45616,1
Bronx,36816,2
Bronx,30364,3
Bronx,29695,4
Bronx,22229,8
Bronx,21803,7
Bronx,21183,9
Bronx,18410,5
Bronx,16646,6
EWR,21741,15
EWR,20536,14
EWR,19107,16
EWR,16839,13
EWR,13689,12
EWR,13622,17
EWR,11229,18
EWR,10799,11
EWR,10686,10
EWR,12817,7
EWR,12742,6
EWR,10450,9
EWR,10369,8
EWR,9391,19
EWR,4537,20
EWR,1836,21
EWR,9469,5
EWR,5873,4
EWR,1553,3
EWR,940,22
EWR,654,23
EWR,487,0
EWR,397,2
EWR,268,1
