PU_Borough,CountPUL,PUHour
Staten Island,147,12
Staten Island,147,10
Staten Island,78,18
Staten Island,78,3
Staten Island,74,22
Staten Island,74,2
Manhattan,6402293,19
Manhattan,6504487,18
Manhattan,5848353,20
Manhattan,5755566,21
Manhattan,5633468,17
Manhattan,5495506,14
Manhattan,5463869,22
Manhattan,5402737,15
Manhattan,5287297,12
Manhattan,5279305,13
Manhattan,5010916,11
Manhattan,4896383,16
Manhattan,4769481,10
Manhattan,4488497,23
Staten Island,140,11
Staten Island,129,13
Staten Island,104,16
Staten Island,103,14
Staten Island,102,15
Manhattan,4853672,9
Manhattan,4777911,8
Manhattan,3861483,7
Manhattan,3394358,0
Manhattan,2503556,1
Manhattan,2290238,6
Manhattan,1835725,2
Manhattan,1324838,3
Staten Island,167,5
Staten Island,128,9
Staten Island,121,8
Staten Island,112,0
Staten Island,80,19
Staten Island,79,23
Staten Island,77,20
Staten Island,76,21
Staten Island,73,17
Manhattan,998097,4
Manhattan,997672,5
Brooklyn,130885,23
Brooklyn,110677,22
Staten Island,92,4
Staten Island,88,7
Staten Island,81,1
Staten Island,83,6
Brooklyn,124188,0
Unknown,109401,18
Unknown,108756,19
Unknown,101315,21
Unknown,101176,20
Brooklyn,87566,21
Brooklyn,73389,19
Brooklyn,73298,20
Brooklyn,69986,18
Brooklyn,54246,17
Brooklyn,46356,14
Brooklyn,45916,15
Brooklyn,44811,13
Brooklyn,42321,16
Brooklyn,41376,12
Brooklyn,38920,10
Brooklyn,38027,11
Queens,424871,17
Queens,426179,16
Queens,417834,21
Queens,407208,20
Queens,403746,14
Queens,399029,18
Queens,397549,15
Queens,396369,22
Queens,395998,19
Queens,376598,23
Queens,357376,13
Queens,317975,10
Queens,313935,12
Queens,302358,11
Unknown,97978,17
Brooklyn,97290,1
Unknown,96509,15
Unknown,96016,22
Unknown,95828,14
Unknown,89883,16
Unknown,89660,13
Unknown,86452,12
Unknown,82820,23
Unknown,79980,11
Unknown,74891,10
Brooklyn,74005,8
Brooklyn,73199,2
Brooklyn,64846,7
Brooklyn,54842,3
Brooklyn,51329,9
Brooklyn,50371,6
Brooklyn,46342,4
Brooklyn,29611,5
Queens,282104,9
Queens,260924,8
Queens,248662,0
Queens,239737,7
Queens,179986,6
Queens,135689,1
Queens,112571,5
Unknown,74074,9
Unknown,71549,8
Unknown,64301,0
Unknown,59789,7
Unknown,48381,1
Unknown,38207,6
Unknown,36005,2
Unknown,27269,3
Unknown,21249,4
Unknown,19055,5
Queens,72448,2
Queens,61695,4
Queens,50777,3
Bronx,5031,17
Bronx,4380,18
Bronx,4048,23
Bronx,4020,16
Bronx,3794,15
Bronx,3723,22
Bronx,3616,19
Bronx,3528,14
Bronx,3509,21
Bronx,3367,12
Bronx,3334,11
Bronx,3326,20
Bronx,3238,10
Bronx,3218,13
Bronx,5011,7
Bronx,4688,8
Bronx,4366,0
Bronx,4049,1
Bronx,4007,4
Bronx,3761,9
Bronx,3726,6
Bronx,3688,2
Bronx,3617,3
Bronx,3480,5
EWR,820,14
EWR,809,16
EWR,799,15
EWR,622,13
EWR,586,17
EWR,486,12
EWR,445,18
EWR,438,19
EWR,379,11
EWR,310,10
EWR,245,20
EWR,429,6
EWR,391,7
EWR,348,8
EWR,346,9
EWR,317,5
EWR,226,4
EWR,67,21
EWR,52,22
EWR,51,23
EWR,95,3
EWR,35,0
EWR,30,2
EWR,27,1
