PU_Borough,PUWeekday,PUHour,avg(passenger_count)
Staten Island,Tuesday,0,1.0833333333333333
Staten Island,Saturday,2,1.0769230769230769
Staten Island,Monday,5,1.0357142857142858
EWR,Tuesday,20,1.0344827586206897
EWR,Saturday,2,1.0
EWR,Thursday,23,1.0
Staten Island,Monday,2,1.0
EWR,Monday,23,1.0
Staten Island,Monday,4,1.0
Staten Island,Friday,0,1.0
EWR,Friday,1,1.0
Staten Island,Friday,5,1.0
EWR,Sunday,1,1.0
Staten Island,Friday,20,1.0
EWR,Friday,0,1.0
Staten Island,Sunday,13,1.0
Staten Island,Friday,21,1.0
EWR,Saturday,1,1.0
EWR,Sunday,2,1.0
Staten Island,Monday,6,1.0
EWR,Thursday,3,1.0
EWR,Tuesday,2,1.0
Staten Island,Monday,18,1.0
Staten Island,Friday,6,1.0
Staten Island,Saturday,7,1.0
EWR,Tuesday,23,1.0
Staten Island,Thursday,5,1.0
Bronx,Monday,11,1.5022222222222221
Bronx,Tuesday,18,1.5009451795841209
Staten Island,Saturday,23,1.5
EWR,Sunday,19,1.5
Staten Island,Sunday,5,1.5
Staten Island,Sunday,7,1.5
EWR,Thursday,15,1.5
Staten Island,Sunday,21,1.5
EWR,Wednesday,3,1.5
EWR,Friday,22,1.5
Staten Island,Thursday,21,1.5
EWR,Friday,20,1.5
Staten Island,Thursday,17,1.5
Staten Island,Tuesday,14,1.5
EWR,Wednesday,1,1.5
EWR,Saturday,13,1.5
Unknown,Friday,15,1.4037271399763578
Unknown,Monday,10,1.4035036778939218
Bronx,Wednesday,4,1.4025974025974026
Unknown,Tuesday,12,1.4022038567493114
Unknown,Friday,8,1.4009638554216868
Staten Island,Wednesday,1,1.4
EWR,Sunday,4,1.4
Staten Island,Monday,21,1.4
Staten Island,Wednesday,2,1.4
Staten Island,Wednesday,23,1.4
EWR,Saturday,8,1.4
Staten Island,Thursday,16,1.4
EWR,Monday,0,1.4
Queens,Friday,20,1.668060664954536
Queens,Thursday,10,1.6675406630521732
Queens,Wednesday,18,1.6667177053029143
Staten Island,Sunday,6,1.6666666666666667
EWR,Monday,15,1.6666666666666667
EWR,Wednesday,2,1.6666666666666667
Staten Island,Monday,3,1.6666666666666667
Bronx,Monday,2,1.6666666666666667
EWR,Monday,3,1.6666666666666667
EWR,Monday,2,1.6666666666666667
Staten Island,Sunday,3,2.0625
Staten Island,Friday,12,2.0588235294117645
EWR,Tuesday,12,2.0
EWR,Thursday,1,2.0
Staten Island,Wednesday,18,2.0
Staten Island,Friday,17,2.0
Staten Island,Thursday,7,2.0
Staten Island,Friday,1,2.0
Staten Island,Wednesday,11,2.0
Staten Island,Monday,16,2.0
Staten Island,Wednesday,16,2.0
Staten Island,Wednesday,3,2.0
EWR,Sunday,22,1.3333333333333333
Staten Island,Monday,23,1.3333333333333333
Staten Island,Wednesday,0,1.3333333333333333
Staten Island,Thursday,1,1.3333333333333333
EWR,Wednesday,23,1.3333333333333333
EWR,Tuesday,8,1.3333333333333333
EWR,Monday,22,1.3333333333333333
EWR,Wednesday,12,1.3333333333333333
EWR,Thursday,18,1.2181818181818183
EWR,Tuesday,3,1.2142857142857142
EWR,Friday,5,1.2105263157894737
EWR,Sunday,0,1.2
EWR,Tuesday,1,1.2
EWR,Sunday,3,1.2
Staten Island,Thursday,19,1.2
Staten Island,Thursday,0,1.2
Staten Island,Thursday,18,1.2
Staten Island,Friday,3,1.2
Staten Island,Sunday,12,1.2
Unknown,Tuesday,17,1.4334273415466825
Unknown,Wednesday,0,1.4321766561514195
Bronx,Monday,5,1.4308510638297873
Unknown,Monday,12,1.4307880055788005
Unknown,Thursday,23,1.4295283282165783
Staten Island,Saturday,22,1.4285714285714286
Staten Island,Thursday,15,1.4285714285714286
Staten Island,Sunday,23,2.6
Staten Island,Wednesday,19,2.6
Staten Island,Thursday,8,2.6
Staten Island,Friday,10,2.5714285714285716
Staten Island,Wednesday,9,2.5555555555555554
Staten Island,Tuesday,7,2.5384615384615383
Staten Island,Sunday,17,2.5384615384615383
Staten Island,Wednesday,13,2.466666666666667
Staten Island,Tuesday,10,2.4642857142857144
Staten Island,Monday,11,2.4444444444444446
Staten Island,Tuesday,11,2.4285714285714284
Staten Island,Friday,7,2.411764705882353
Staten Island,Saturday,20,2.3846153846153846
Staten Island,Tuesday,23,2.3333333333333335
Staten Island,Tuesday,2,2.3333333333333335
Staten Island,Thursday,10,2.3181818181818183
Staten Island,Saturday,10,2.3181818181818183
Staten Island,Monday,7,2.3076923076923075
Staten Island,Friday,13,2.3076923076923075
Staten Island,Wednesday,21,2.2142857142857144
Staten Island,Tuesday,3,2.2
Staten Island,Saturday,13,2.1818181818181817
Staten Island,Saturday,17,2.1666666666666665
Staten Island,Monday,20,2.1666666666666665
Staten Island,Tuesday,12,2.142857142857143
EWR,Thursday,2,1.125
Staten Island,Monday,22,1.125
EWR,Thursday,0,1.125
Staten Island,Saturday,0,1.1176470588235294
Staten Island,Thursday,6,1.1176470588235294
Staten Island,Tuesday,20,1.1111111111111112
Staten Island,Tuesday,4,1.1111111111111112
Staten Island,Monday,14,4.363636363636363
Staten Island,Friday,15,3.727272727272727
Staten Island,Monday,13,3.3529411764705883
Staten Island,Tuesday,9,3.3333333333333335
Staten Island,Thursday,14,3.25
Staten Island,Wednesday,6,3.2142857142857144
Manhattan,Thursday,18,1.6012415950662504
Manhattan,Wednesday,12,1.601060609007397
Manhattan,Tuesday,13,1.6008488517739612
Manhattan,Wednesday,14,1.6007491675222514
Brooklyn,Wednesday,7,1.6006305832895429
Manhattan,Wednesday,18,1.6003188702419215
Staten Island,Wednesday,4,1.2857142857142858
EWR,Thursday,22,1.2857142857142858
Staten Island,Thursday,20,1.2857142857142858
Staten Island,Saturday,21,1.2857142857142858
EWR,Monday,4,1.2857142857142858
Staten Island,Tuesday,22,1.2777777777777777
Staten Island,Saturday,6,1.1818181818181819
Staten Island,Sunday,15,1.1818181818181819
EWR,Tuesday,22,1.1666666666666667
EWR,Wednesday,22,1.1666666666666667
Staten Island,Tuesday,21,1.1666666666666667
Staten Island,Thursday,3,1.1666666666666667
Queens,Saturday,18,1.7255568138920347
Manhattan,Saturday,22,1.7235949915212465
Queens,Saturday,19,1.7230204142825016
Staten Island,Thursday,22,1.7222222222222223
Queens,Saturday,20,1.7216315956692818
Manhattan,Saturday,23,1.7215676160442666
Staten Island,Wednesday,15,1.6153846153846154
Manhattan,Monday,19,1.615171315712646
Manhattan,Tuesday,15,1.6151187710367285
Brooklyn,Tuesday,21,1.614678899082569
Brooklyn,Wednesday,21,1.6146226066385747
Brooklyn,Friday,20,1.6145905621096461
Staten Island,Sunday,11,1.4545454545454546
Staten Island,Friday,2,1.4545454545454546
Unknown,Monday,14,1.4543120374565777
Unknown,Wednesday,3,1.4537719795802608
Unknown,Wednesday,1,1.453427065026362
Unknown,Thursday,0,1.4530764449968925
Manhattan,Saturday,21,1.7203451852141753
Manhattan,Sunday,0,1.7135493576027885
Manhattan,Saturday,19,1.7101759777774495
Manhattan,Saturday,20,1.710169360749971
Manhattan,Sunday,2,1.7074609817814637
Queens,Saturday,17,1.7057274781412712
Brooklyn,Wednesday,4,1.5411359724612737
Manhattan,Saturday,6,1.5410060028979506
Bronx,Monday,17,1.5408163265306123
Brooklyn,Wednesday,14,1.5388338833883388
Brooklyn,Wednesday,2,1.5387136419500205
Brooklyn,Thursday,15,1.5385395537525355
Manhattan,Sunday,14,1.6896410433076003
Manhattan,Saturday,14,1.6895188962177232
Brooklyn,Saturday,21,1.6893380895759018
Queens,Monday,17,1.6889991858207554
Manhattan,Friday,22,1.6888388384518436
Manhattan,Saturday,0,1.6886622131621005
Queens,Monday,6,1.607388484967577
Manhattan,Wednesday,20,1.6069189515824458
Manhattan,Tuesday,14,1.6067615703410405
Manhattan,Monday,11,1.6066702605000713
Manhattan,Wednesday,19,1.6065019447925926
Manhattan,Monday,3,1.6061946902654867
Queens,Friday,6,1.598780269058296
Manhattan,Thursday,16,1.598609400065586
Manhattan,Friday,12,1.598440699737309
Manhattan,Wednesday,16,1.598437920818745
