DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Staten Island,Charleston/Tottenville,90,44,90
Manhattan,Governor's Island/Ellis Island/Liberty Island,36,105,36
Manhattan,Stuy Town/Peter Cooper Village,114516,224,114516
Manhattan,Central Harlem North,113604,42,113604
Manhattan,Meatpacking/West Village West,309564,158,309564
Manhattan,Little Italy/NoLiTa,275978,144,275978
Queens,Long Island City/Hunters Point,85220,145,85220
Brooklyn,Williamsburg (North Side),83831,255,83831
Staten Island,South Beach/Dongan Hills,474,214,474
Staten Island,Heartland Village/Todt Hill,470,118,470
Manhattan,Upper East Side North,1079118,236,1079118
Manhattan,Midtown Center,1029063,161,1029063
Queens,Breezy Point/Fort Tilden/Riis Beach,229,27,229
Staten Island,Mariners Harbor,218,156,218
Manhattan,Times Sq/Theatre District,859089,230,859089
Manhattan,Midtown East,852457,162,852457
Bronx,University Heights/Morris Heights,4219,235,4219
Manhattan,Randalls Island,4192,194,4192
Manhattan,Lenox Hill East,483321,140,483321
Manhattan,TriBeCa/Civic Center,474260,231,474260
Queens,Long Island City/Queens Plaza,36428,146,36428
Brooklyn,Carroll Gardens,32990,40,32990
Brooklyn,East New York/Pennsylvania Avenue,1577,77,1577
Bronx,Crotona Park East,1562,60,1562
Manhattan,Two Bridges/Seward Park,133115,232,133115
Manhattan,Alphabet City,132373,4,132373
Bronx,Riverdale/North Riverdale/Fieldston,8198,200,8198
Brooklyn,Kensington,8137,133,8137
Brooklyn,Prospect-Lefferts Gardens,19550,188,19550
Manhattan,Battery Park,19546,12,19546
Manhattan,Clinton East,757389,48,757389
Manhattan,Lincoln Square East,744599,142,744599
Manhattan,Flatiron,425485,90,425485
Manhattan,Greenwich Village North,400229,113,400229
Bronx,Soundview/Bruckner,3245,212,3245
Bronx,Schuylerville/Edgewater Park,3192,208,3192
Manhattan,Gramercy,586031,107,586031
Manhattan,Upper West Side North,565784,238,565784
Manhattan,East Harlem North,206663,74,206663
Manhattan,Central Harlem,168129,41,168129
Brooklyn,Green-Wood Cemetery,335,111,335
Staten Island,Grymes Hill/Clifton,323,115,323
Staten Island,Oakwood,177,176,177
Brooklyn,Marine Park/Floyd Bennett Field,174,154,174
Brooklyn,Prospect Heights,30081,189,30081
Brooklyn,Stuyvesant Heights,28924,225,28924
Queens,Springfield Gardens North,3591,218,3591
Bronx,Morrisania/Melrose,3587,167,3587
Manhattan,SoHo,245916,211,245916
Manhattan,Financial District North,236214,87,236214
Manhattan,Seaport,75755,209,75755
Brooklyn,Williamsburg (South Side),74181,256,74181
Manhattan,East Village,658485,79,658485
Manhattan,Lenox Hill West,646278,141,646278
Brooklyn,Starrett City,824,222,824
Staten Island,Bloomfield/Emerson Hill,592,23,592
Staten Island,Rossville/Woodrow,133,204,133
Staten Island,Arden Heights,126,5,126
Brooklyn,Flatbush/Ditmas Park,22920,89,22920
Brooklyn,Cobble Hill,22877,52,22877
Queens,Laurelton,1931,139,1931
Bronx,Westchester Village/Unionport,1913,250,1913
Manhattan,Central Park,335875,43,335875
Manhattan,Clinton West,325831,50,325831
Queens,Astoria Park,544,8,544
Staten Island,Arrochar/Fort Wadsworth,512,6,512
Unknown,NV,360648,264,360648
Manhattan,Lincoln Square West,347501,143,347501
Brooklyn,Fort Greene,48310,97,48310
Queens,Jackson Heights,47852,129,47852
Brooklyn,DUMBO/Vinegar Hill,42971,66,42971
Brooklyn,Bedford,40379,17,40379
Bronx,Kingsbridge Heights,2826,136,2826
Bronx,Pelham Parkway,2761,185,2761
Manhattan,Roosevelt Island,12767,202,12767
Queens,Flushing,12136,92,12136
Bronx,West Concourse,11196,247,11196
Queens,East Elmhurst,11144,70,11144
Queens,Rego Park,9927,196,9927
Brooklyn,South Williamsburg,9537,217,9537
Queens,Bayside,3765,16,3765
Brooklyn,East Flatbush/Farragut,3759,71,3759
Brooklyn,Brownsville,3026,35,3026
Brooklyn,Bensonhurst East,3004,21,3004
Manhattan,Marble Hill,1052,153,1052
Queens,Hammels/Arverne,1041,117,1041
Bronx,Van Cortlandt Village,3941,241,3941
Brooklyn,Erasmus,3917,85,3917
Bronx,Soundview/Castle Hill,3456,213,3456
Queens,Glendale,3443,102,3443
Queens,Richmond Hill,5974,197,5974
Brooklyn,Borough Park,5706,26,5706
Brooklyn,Bensonhurst West,4661,22,4661
Queens,Woodhaven,4471,258,4471
Brooklyn,Sheepshead Bay,2893,210,2893
Bronx,Parkchester,2890,182,2890
