DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Queens,Auburndale,1038,9,1038
Manhattan,Marble Hill,1036,153,1036
Brooklyn,Ocean Parkway South,1036,178,1036
Manhattan,Sutton Place/Turtle Bay North,225579,229,225579
Manhattan,Lincoln Square East,218684,142,218684
Manhattan,West Chelsea/Hudson Yards,170263,246,170263
Manhattan,Greenwich Village North,166704,113,166704
Staten Island,Freshkills Park,14,99,14
Manhattan,Governor's Island/Ellis Island/Liberty Island,12,105,12
Queens,Long Island City/Queens Plaza,23030,146,23030
Brooklyn,Flatbush/Ditmas Park,20589,89,20589
Manhattan,Financial District North,130790,87,130790
Manhattan,East Harlem South,130505,75,130505
Manhattan,Hamilton Heights,61884,116,61884
Queens,Long Island City/Hunters Point,56230,145,56230
Bronx,East Concourse/Concourse Village,8607,69,8607
Queens,Queensbridge/Ravenswood,8206,193,8206
Brooklyn,Downtown Brooklyn/MetroTech,32464,65,32464
Brooklyn,Stuyvesant Heights,31037,225,31037
Manhattan,Gramercy,307615,107,307615
Manhattan,Penn Station/Madison Sq West,296032,186,296032
Queens,Breezy Point/Fort Tilden/Riis Beach,183,27,183
Staten Island,Port Richmond,155,187,155
Manhattan,Upper East Side North,243444,236,243444
Manhattan,Yorkville West,240642,263,240642
Manhattan,Battery Park City,88153,13,88153
Manhattan,Two Bridges/Seward Park,84008,232,84008
Brooklyn,East New York/Pennsylvania Avenue,1353,77,1353
Queens,Oakland Gardens,1332,175,1332
Manhattan,Midtown North,203031,163,203031
Manhattan,Upper West Side North,200899,238,200899
Manhattan,Midtown Center,195260,161,195260
Manhattan,UN/Turtle Bay South,177796,233,177796
Manhattan,Lenox Hill East,149065,140,149065
Manhattan,Garment District,146558,100,146558
Queens,Kew Gardens Hills,2928,135,2928
Bronx,Schuylerville/Edgewater Park,2889,208,2889
Brooklyn,Park Slope,73398,181,73398
Brooklyn,Williamsburg (North Side),73341,255,73341
Bronx,Mott Haven/Port Morris,15910,168,15910
Brooklyn,Sunset Park West,15753,228,15753
Manhattan,Manhattan Valley,99842,151,99842
Manhattan,East Harlem North,99657,74,99657
Manhattan,Chinatown,40779,45,40779
Manhattan,Financial District South,40682,88,40682
Brooklyn,Windsor Terrace,11982,257,11982
Brooklyn,Crown Heights South,10522,62,10522
Staten Island,Bloomfield/Emerson Hill,436,23,436
Staten Island,Stapleton,428,221,428
Staten Island,Grymes Hill/Clifton,238,115,238
Staten Island,Great Kills,232,109,232
Brooklyn,Brooklyn Navy Yard,1178,34,1178
Bronx,Allerton/Pelham Gardens,1149,3,1149
Staten Island,Heartland Village/Todt Hill,353,118,353
Bronx,City Island,314,46,314
Staten Island,Westerleigh,386,251,386
Queens,Forest Park/Highland Park,382,96,382
Manhattan,Lower East Side,274169,148,274169
Manhattan,Union Sq,268769,234,268769
Manhattan,World Trade Center,66752,261,66752
Manhattan,Hudson Sq,66498,125,66498
Bronx,Spuyten Duyvil/Kingsbridge,7387,220,7387
