DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Staten Island,New Dorp/Midland Beach,303,172,303
Staten Island,West Brighton,299,245,299
Brooklyn,Marine Park/Floyd Bennett Field,299,154,299
Manhattan,Governor's Island/Ellis Island/Liberty Island,24,105,24
Staten Island,Freshkills Park,14,99,14
Queens,Jamaica Bay,14,2,14
Manhattan,Inwood Hill Park,1739,128,1739
Queens,Saint Michaels Cemetery/Woodside,1711,207,1711
Queens,Corona,1711,57,1711
Manhattan,Central Harlem North,118043,42,118043
Manhattan,Stuy Town/Peter Cooper Village,112051,224,112051
Queens,Long Island City/Hunters Point,85912,145,85912
Brooklyn,Williamsburg (North Side),81037,255,81037
Manhattan,Penn Station/Madison Sq West,740806,186,740806
Manhattan,Midtown North,657909,163,657909
Manhattan,East Harlem South,300717,75,300717
Manhattan,Greenwich Village South,291850,114,291850
Manhattan,Manhattan Valley,202464,151,202464
Manhattan,Morningside Heights,173781,166,173781
Staten Island,Oakwood,196,176,196
Staten Island,Eltingville/Annadale/Prince's Bay,187,84,187
Manhattan,Upper West Side South,599879,239,599879
Manhattan,Midtown South,599539,164,599539
Manhattan,Yorkville West,460182,263,460182
Manhattan,TriBeCa/Civic Center,457332,231,457332
Manhattan,Alphabet City,131934,4,131934
Manhattan,Two Bridges/Seward Park,125796,232,125796
Queens,Forest Park/Highland Park,564,96,564
Staten Island,Arrochar/Fort Wadsworth,554,6,554
Manhattan,Upper East Side South,855040,237,855040
Manhattan,Midtown East,845672,162,845672
Manhattan,Gramercy,561039,107,561039
Manhattan,West Chelsea/Hudson Yards,496053,246,496053
Brooklyn,Kensington,8255,133,8255
Bronx,Riverdale/North Riverdale/Fieldston,7970,200,7970
Queens,JFK Airport,247151,132,247151
Manhattan,Financial District North,242652,87,242652
Bronx,East Concourse/Concourse Village,11350,69,11350
Queens,Baisley Park,11316,10,11316
Manhattan,Central Park,306623,43,306623
Manhattan,Lincoln Square West,304835,143,304835
Queens,Old Astoria,39206,179,39206
Queens,Long Island City/Queens Plaza,36182,146,36182
Brooklyn,East Flatbush/Farragut,4753,71,4753
Bronx,Van Cortlandt Village,4611,241,4611
Bronx,Morrisania/Melrose,4349,167,4349
Queens,Springfield Gardens North,4314,218,4314
Manhattan,Midtown Center,1029988,161,1029988
Manhattan,Murray Hill,887960,170,887960
Brooklyn,Downtown Brooklyn/MetroTech,53936,65,53936
EWR,Newark Airport,53336,1,53336
Manhattan,UN/Turtle Bay South,413870,233,413870
Manhattan,Flatiron,398499,90,398499
Brooklyn,Carroll Gardens,31544,40,31544
Brooklyn,Stuyvesant Heights,31010,225,31010
Brooklyn,Windsor Terrace,13752,257,13752
Manhattan,Roosevelt Island,12655,202,12655
Queens,LaGuardia Airport,321106,138,321106
Manhattan,Clinton West,315131,50,315131
Brooklyn,Columbia Street,7709,54,7709
Queens,Briarwood/Jamaica Hills,7096,28,7096
Queens,Queens Village,3259,191,3259
Brooklyn,Marine Park/Mill Basin,3232,155,3232
Bronx,Westchester Village/Unionport,2365,250,2365
Queens,Ozone Park,2339,180,2339
Staten Island,Arden Heights,134,5,134
Staten Island,Rossville/Woodrow,127,204,127
Queens,Queensboro Hill,2483,192,2483
Queens,Bay Terrace/Fort Totten,2467,15,2467
