DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Manhattan,Sutton Place/Turtle Bay North,504901,229,504901
Manhattan,Lenox Hill East,495889,140,495889
Manhattan,Meatpacking/West Village West,302952,158,302952
Queens,LaGuardia Airport,294423,138,294423
Manhattan,Central Harlem North,121467,42,121467
Manhattan,Financial District South,114055,88,114055
Manhattan,World Trade Center,140233,261,140233
Manhattan,Two Bridges/Seward Park,135815,232,135815
Manhattan,Upper East Side North,1081021,236,1081021
Manhattan,Midtown Center,1032959,161,1032959
Staten Island,South Beach/Dongan Hills,543,214,543
Staten Island,Grymes Hill/Clifton,501,115,501
Bronx,Mott Haven/Port Morris,21744,168,21744
Brooklyn,Prospect-Lefferts Gardens,20987,188,20987
Bronx,Allerton/Pelham Gardens,1465,3,1465
Queens,Saint Michaels Cemetery/Woodside,1433,207,1433
Manhattan,Times Sq/Theatre District,861970,230,861970
Manhattan,Midtown East,856069,162,856069
Staten Island,Mariners Harbor,237,156,237
Brooklyn,Marine Park/Floyd Bennett Field,237,154,237
Manhattan,Morningside Heights,218971,166,218971
Manhattan,East Harlem North,213893,74,213893
Queens,Jamaica Bay,17,2,17
Manhattan,Governor's Island/Ellis Island/Liberty Island,16,105,16
Manhattan,Midtown South,591918,164,591918
Manhattan,Upper West Side North,585184,238,585184
Manhattan,Central Park,327206,43,327206
Manhattan,Greenwich Village South,317587,114,317587
Brooklyn,Brooklyn Heights,81712,33,81712
Brooklyn,Williamsburg (South Side),79517,256,79517
Manhattan,UN/Turtle Bay South,396151,233,396151
Manhattan,Yorkville East,362865,262,362865
Manhattan,Bloomingdale,92300,24,92300
Brooklyn,Williamsburg (North Side),85927,255,85927
Staten Island,New Dorp/Midland Beach,369,172,369
Staten Island,West Brighton,286,245,286
Manhattan,Clinton East,762987,48,762987
Manhattan,Lincoln Square East,753048,142,753048
Brooklyn,Crown Heights South,12872,62,12872
Manhattan,Roosevelt Island,12576,202,12576
Manhattan,Midtown North,670074,163,670074
Manhattan,Lenox Hill West,664939,141,664939
Brooklyn,Cypress Hills,3399,63,3399
Bronx,Schuylerville/Edgewater Park,3382,208,3382
Staten Island,Stapleton,701,221,701
Staten Island,Bloomfield/Emerson Hill,635,23,635
Brooklyn,Sunset Park East,6534,227,6534
Queens,Briarwood/Jamaica Hills,6291,28,6291
Brooklyn,East Flatbush/Remsen Village,4057,72,4057
Brooklyn,Homecrest,4022,123,4022
Queens,College Point,2676,53,2676
Queens,Flushing Meadows-Corona Park,2676,93,2676
Staten Island,Rossville/Woodrow,175,204,175
Staten Island,Arden Heights,172,5,172
Manhattan,Garment District,434141,100,434141
Manhattan,Flatiron,432408,90,432408
Brooklyn,East Williamsburg,55533,80,55533
Brooklyn,Clinton Hill,54074,49,54074
Queens,Forest Hills,32194,95,32194
Brooklyn,Stuyvesant Heights,31759,225,31759
Manhattan,SoHo,244009,211,244009
Manhattan,Manhattan Valley,231479,151,231479
Brooklyn,Madison,2946,149,2946
Queens,Springfield Gardens North,2938,218,2938
Brooklyn,Crown Heights North,50647,61,50647
EWR,Newark Airport,50296,1,50296
Brooklyn,Flatlands,4378,91,4378
Brooklyn,East Flatbush/Farragut,4210,71,4210
Bronx,Belmont,2393,20,2393
Bronx,Westchester Village/Unionport,2388,250,2388
Brooklyn,DUMBO/Vinegar Hill,40879,66,40879
Queens,Woodside,35370,260,35370
Brooklyn,South Williamsburg,9740,217,9740
Queens,Baisley Park,9331,10,9331
Queens,East Flushing,1638,73,1638
Manhattan,Inwood Hill Park,1602,128,1602
Queens,Forest Park/Highland Park,454,96,454
Queens,Astoria Park,454,8,454
Manhattan,Manhattanville,49679,152,49679
Brooklyn,Bedford,46311,17,46311
Queens,East Elmhurst,11000,70,11000
Bronx,West Concourse,10918,247,10918
Bronx,Crotona Park East,1792,60,1792
Queens,Cambria Heights,1756,38,1756
Brooklyn,Columbia Street,8563,54,8563
Queens,North Corona,8510,173,8510
Queens,Murray Hill-Queens,3631,171,3631
Queens,Whitestone,3498,252,3498
Bronx,Parkchester,3316,182,3316
Bronx,Kingsbridge Heights,3263,136,3263
Manhattan,Battery Park,17515,12,17515
Queens,Ridgewood,17404,198,17404
Brooklyn,Borough Park,5938,26,5938
Brooklyn,East New York,5918,76,5918
Bronx,Eastchester,1178,81,1178
