PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Manhattan,Governor's Island/Ellis Island/Liberty Island,46,105,46
Staten Island,Bloomfield/Emerson Hill,40,23,40
Bronx,Pelham Bay,40,183,40
Bronx,Westchester Village/Unionport,234,250,234
Bronx,Parkchester,227,182,227
Brooklyn,East Flatbush/Remsen Village,227,72,227
Staten Island,Arrochar/Fort Wadsworth,124,6,124
Manhattan,Highbridge Park,124,120,124
Brooklyn,Coney Island,124,55,124
Staten Island,Saint George/New Brighton,18,206,18
Staten Island,Heartland Village/Todt Hill,18,118,18
Manhattan,Upper East Side South,1153910,237,1153910
Manhattan,Midtown Center,1049819,161,1049819
Manhattan,Little Italy/NoLiTa,310205,144,310205
Manhattan,Lincoln Square West,306681,143,306681
Manhattan,Midtown East,952588,162,952588
Manhattan,Times Sq/Theatre District,942179,230,942179
Manhattan,Garment District,574867,100,574867
Manhattan,Upper West Side North,524785,238,524785
Manhattan,Midtown North,760403,163,760403
Manhattan,Upper West Side South,711858,239,711858
Brooklyn,Williamsburg (North Side),31483,255,31483
Brooklyn,Brooklyn Heights,30483,33,30483
Manhattan,Manhattanville,24631,152,24631
Manhattan,Washington Heights South,23677,244,23677
Brooklyn,Crown Heights North,4763,61,4763
Manhattan,Washington Heights North,4762,243,4762
Queens,Springfield Gardens South,1836,219,1836
Queens,Briarwood/Jamaica Hills,1824,28,1824
Queens,Breezy Point/Fort Tilden/Riis Beach,6,27,6
Staten Island,Rossville/Woodrow,6,204,6
Brooklyn,Prospect-Lefferts Gardens,2939,188,2939
Brooklyn,Sunset Park West,2877,228,2877
Manhattan,Clinton East,872910,48,872910
Manhattan,Lincoln Square East,838376,142,838376
Manhattan,Yorkville West,491711,263,491711
Manhattan,Lenox Hill East,467964,140,467964
Queens,Douglaston,134,64,134
Queens,Fresh Meadows,131,98,131
Queens,Bayside,131,16,131
Manhattan,UN/Turtle Bay South,354289,233,354289
Manhattan,Kips Bay,335445,137,335445
Manhattan,World Trade Center,173558,261,173558
Manhattan,Hudson Sq,168712,125,168712
Unknown,NV,404536,264,404536
Manhattan,West Chelsea/Hudson Yards,401966,246,401966
Staten Island,Stapleton,21,221,21
Staten Island,South Beach/Dongan Hills,21,214,21
Brooklyn,Flatlands,427,91,427
Bronx,University Heights/Morris Heights,425,235,425
Brooklyn,East New York/Pennsylvania Avenue,157,77,157
Bronx,Co-Op City,157,51,157
Staten Island,Eltingville/Annadale/Prince's Bay,9,84,9
Bronx,Crotona Park,9,59,9
Brooklyn,South Williamsburg,2333,217,2333
Queens,South Ozone Park,2291,216,2291
Staten Island,Charleston/Tottenville,7,44,7
Staten Island,West Brighton,7,245,7
Queens,Sunnyside,44008,226,44008
Manhattan,Central Harlem North,39535,42,39535
Brooklyn,Boerum Hill,29013,25,29013
Manhattan,Hamilton Heights,28384,116,28384
