PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Queens,Breezy Point/Fort Tilden/Riis Beach,5,27,5
Staten Island,Charleston/Tottenville,5,44,5
Staten Island,Grymes Hill/Clifton,5,115,5
Staten Island,Oakwood,5,176,5
Staten Island,Port Richmond,5,187,5
Manhattan,Governor's Island/Ellis Island/Liberty Island,16,105,16
Queens,Far Rockaway,16,86,16
Queens,Rockaway Park,16,201,16
Bronx,City Island,16,46,16
Staten Island,Westerleigh,13,251,13
Queens,Jamaica Bay,13,2,13
Staten Island,Great Kills,13,109,13
Staten Island,Heartland Village/Todt Hill,13,118,13
Staten Island,New Dorp/Midland Beach,12,172,12
Staten Island,Bloomfield/Emerson Hill,12,23,12
Staten Island,Eltingville/Annadale/Prince's Bay,12,84,12
Manhattan,Inwood Hill Park,58,128,58
Brooklyn,Green-Wood Cemetery,58,111,58
Bronx,Van Cortlandt Park,58,240,58
Bronx,Eastchester,58,81,58
Queens,Saint Michaels Cemetery/Woodside,88,207,88
Queens,Bellerose,88,19,88
Bronx,Riverdale/North Riverdale/Fieldston,88,200,88
Brooklyn,Gravesend,85,108,85
Queens,Whitestone,85,252,85
Bronx,Bronx Park,85,31,85
Brooklyn,Marine Park/Mill Basin,85,155,85
Brooklyn,East New York/Pennsylvania Avenue,130,77,130
Bronx,Pelham Parkway,129,185,129
Queens,Bayside,129,16,129
Queens,Cambria Heights,15,38,15
Staten Island,Saint George/New Brighton,15,206,15
Bronx,Country Club,15,58,15
Manhattan,Penn Station/Madison Sq West,338442,186,338442
Manhattan,Greenwich Village South,337071,114,337071
Staten Island,Great Kills Park,1,110,1
Manhattan,Governor's Island/Ellis Island/Liberty Island,1,104,1
Manhattan,TriBeCa/Civic Center,233894,231,233894
Manhattan,Little Italy/NoLiTa,227323,144,227323
Manhattan,Greenwich Village North,209636,113,209636
Manhattan,Garment District,209492,100,209492
Manhattan,Morningside Heights,43698,166,43698
Manhattan,Two Bridges/Seward Park,43274,232,43274
Queens,Saint Albans,47,205,47
Bronx,Allerton/Pelham Gardens,47,3,47
Bronx,Pelham Bay,47,183,47
Queens,Long Island City/Queens Plaza,15354,146,15354
Manhattan,Manhattanville,11926,152,11926
Bronx,Mott Haven/Port Morris,2758,168,2758
Brooklyn,Prospect-Lefferts Gardens,2176,188,2176
Brooklyn,Flatbush/Ditmas Park,1466,89,1466
Queens,Flushing Meadows-Corona Park,1199,93,1199
Manhattan,Lincoln Square West,66252,143,66252
Manhattan,Battery Park City,63476,13,63476
Brooklyn,Downtown Brooklyn/MetroTech,17266,65,17266
Brooklyn,Boerum Hill,17239,25,17239
Manhattan,Yorkville East,56555,262,56555
Manhattan,World Trade Center,55048,261,55048
Manhattan,Gramercy,322679,107,322679
Manhattan,Lincoln Square East,318870,142,318870
Brooklyn,Prospect Park,725,190,725
Bronx,East Concourse/Concourse Village,700,69,700
Manhattan,East Village,742799,79,742799
Manhattan,Lower East Side,477806,148,477806
Manhattan,Upper West Side North,126931,238,126931
Manhattan,SoHo,120901,211,120901
Brooklyn,East Flatbush/Remsen Village,188,72,188
Brooklyn,Borough Park,187,26,187
Queens,College Point,61,53,61
Queens,Rosedale,61,203,61
Bronx,Bronxdale,61,32,61
Manhattan,Lenox Hill East,100303,140,100303
Manhattan,Hudson Sq,92475,125,92475
Brooklyn,Gowanus,3939,106,3939
Manhattan,Washington Heights North,3668,243,3668
Brooklyn,Windsor Terrace,624,257,624
Queens,Briarwood/Jamaica Hills,594,28,594
Manhattan,West Village,445401,249,445401
Manhattan,Union Sq,416775,234,416775
Brooklyn,Fort Greene,20487,97,20487
Brooklyn,East Williamsburg,19293,80,19293
Brooklyn,Sunset Park West,1890,228,1890
Queens,Elmhurst/Maspeth,1847,83,1847
Manhattan,Central Harlem,40326,41,40326
Manhattan,Chinatown,35361,45,35361
Brooklyn,DUMBO/Vinegar Hill,4482,66,4482
Brooklyn,Cobble Hill,4470,52,4470
Manhattan,Highbridge Park,103,120,103
Brooklyn,Bensonhurst East,103,21,103
Brooklyn,Bushwick South,10050,37,10050
Brooklyn,Clinton Hill,9336,49,9336
Brooklyn,Crown Heights South,1035,62,1035
Brooklyn,Bay Ridge,1015,14,1015
Bronx,Van Nest/Morris Park,146,242,146
Queens,Queensboro Hill,144,192,144
Queens,JFK Airport,250899,132,250899
Manhattan,Flatiron,246239,90,246239
Queens,LaGuardia Airport,190319,138,190319
Unknown,NV,189375,264,189375
Brooklyn,Homecrest,110,123,110
Brooklyn,Ocean Parkway South,110,178,110
Bronx,Melrose South,804,159,804
Manhattan,Roosevelt Island,787,202,787
Brooklyn,Dyker Heights,139,67,139
Bronx,Woodlawn/Wakefield,138,259,138
Staten Island,Freshkills Park,3,99,3
Staten Island,Arden Heights,3,5,3
Queens,Woodside,6933,260,6933
