PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Staten Island,Eltingville/Annadale/Prince's Bay,11,84,11
Queens,Broad Channel,11,30,11
Staten Island,Arden Heights,11,5,11
Staten Island,South Beach/Dongan Hills,22,214,22
Staten Island,Rossville/Woodrow,22,204,22
Queens,Jamaica Bay,22,2,22
Bronx,Schuylerville/Edgewater Park,230,208,230
Bronx,Crotona Park East,224,60,224
Queens,Ozone Park,224,180,224
Manhattan,Upper West Side North,573814,238,573814
Manhattan,Sutton Place/Turtle Bay North,572344,229,572344
Queens,Long Island City/Queens Plaza,34625,146,34625
Manhattan,Washington Heights South,33499,244,33499
Manhattan,Times Sq/Theatre District,1019057,230,1019057
Manhattan,Midtown East,1013129,162,1013129
Manhattan,Lower East Side,441310,148,441310
Manhattan,West Chelsea/Hudson Yards,434146,246,434146
Manhattan,Upper East Side South,1192571,237,1192571
Manhattan,Midtown Center,1114044,161,1114044
Manhattan,Central Harlem North,53906,42,53906
Brooklyn,Williamsburg (North Side),45416,255,45416
Manhattan,World Trade Center,176330,261,176330
Manhattan,Morningside Heights,165927,166,165927
Manhattan,Governor's Island/Ellis Island/Liberty Island,30,105,30
Queens,Far Rockaway,30,86,30
Brooklyn,Crown Heights South,1516,62,1516
Bronx,East Concourse/Concourse Village,1511,69,1511
Queens,LaGuardia Airport,796655,138,796655
Manhattan,Upper West Side South,776359,239,776359
Brooklyn,Sunset Park West,3712,228,3712
Queens,Flushing Meadows-Corona Park,3597,93,3597
Manhattan,Lincoln Square West,325835,143,325835
Manhattan,Clinton West,306697,50,306697
Manhattan,Yorkville West,532445,263,532445
Manhattan,Lenox Hill East,505035,140,505035
Brooklyn,Park Slope,38356,181,38356
Brooklyn,Williamsburg (South Side),38329,256,38329
Manhattan,UN/Turtle Bay South,396636,233,396636
Manhattan,Kips Bay,382014,137,382014
Manhattan,SoHo,249847,211,249847
Manhattan,Financial District North,236457,87,236457
Manhattan,Chinatown,66767,45,66767
Manhattan,Two Bridges/Seward Park,61626,232,61626
Brooklyn,East New York/Pennsylvania Avenue,174,77,174
Brooklyn,Bath Beach,174,11,174
Brooklyn,Sheepshead Bay,154,210,154
Staten Island,Arrochar/Fort Wadsworth,149,6,149
Brooklyn,Flatbush/Ditmas Park,2891,89,2891
Manhattan,Randalls Island,2553,194,2553
Manhattan,Midtown South,719692,164,719692
Manhattan,East Chelsea,703623,68,703623
Queens,Forest Hills,4312,95,4312
Brooklyn,Prospect-Lefferts Gardens,4165,188,4165
Manhattan,Clinton East,955657,48,955657
Manhattan,East Village,907094,79,907094
Manhattan,Central Harlem,115971,41,115971
Manhattan,Bloomingdale,92926,24,92926
Brooklyn,Fort Greene,32115,97,32115
Brooklyn,East Williamsburg,20546,80,20546
Bronx,Kingsbridge Heights,390,136,390
Bronx,Soundview/Castle Hill,388,213,388
Bronx,Westchester Village/Unionport,351,250,351
Queens,Astoria Park,350,8,350
Manhattan,Battery Park,12150,12,12150
Brooklyn,Bushwick South,10217,37,10217
Brooklyn,Cobble Hill,18736,52,18736
Brooklyn,Carroll Gardens,18725,40,18725
Staten Island,West Brighton,12,245,12
Staten Island,Port Richmond,12,187,12
Queens,North Corona,1075,173,1075
Brooklyn,Brooklyn Navy Yard,1041,34,1041
Staten Island,Grymes Hill/Clifton,44,115,44
Queens,Rockaway Park,44,201,44
Queens,Queensbridge/Ravenswood,16112,193,16112
Unknown,NA,15499,265,15499
Brooklyn,Manhattan Beach,80,150,80
