PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Bronx,Rikers Island,4,199,4
Queens,Breezy Point/Fort Tilden/Riis Beach,4,27,4
Staten Island,Charleston/Tottenville,4,44,4
Queens,Broad Channel,4,30,4
Staten Island,New Dorp/Midland Beach,10,172,10
Bronx,Country Club,10,58,10
Bronx,Crotona Park,10,59,10
Staten Island,Port Richmond,10,187,10
Manhattan,Governor's Island/Ellis Island/Liberty Island,17,105,17
Staten Island,Mariners Harbor,16,156,16
Bronx,Pelham Bay Park,16,184,16
Bronx,Riverdale/North Riverdale/Fieldston,206,200,206
Bronx,West Farms/Bronx River,206,248,206
Bronx,Fordham South,206,94,206
Brooklyn,Borough Park,621,26,621
Queens,Kew Gardens Hills,575,135,575
Bronx,University Heights/Morris Heights,575,235,575
Manhattan,Meatpacking/West Village West,313219,158,313219
Manhattan,Lincoln Square West,306205,143,306205
Bronx,Bedford Park,345,18,345
Brooklyn,East Flatbush/Farragut,345,71,345
Queens,Woodhaven,345,258,345
Manhattan,Upper East Side South,1124677,237,1124677
Manhattan,Midtown Center,1061144,161,1061144
Manhattan,Times Sq/Theatre District,969630,230,969630
Manhattan,Midtown East,956272,162,956272
Manhattan,Garment District,571078,100,571078
Manhattan,Upper West Side North,555800,238,555800
Brooklyn,Brooklyn Heights,29607,33,29607
Queens,Long Island City/Hunters Point,29559,145,29559
Brooklyn,Williamsburg (North Side),34458,255,34458
Manhattan,Hamilton Heights,34062,116,34062
Manhattan,TriBeCa/Civic Center,514744,231,514744
Manhattan,Yorkville West,513772,263,513772
Manhattan,Washington Heights North,5928,243,5928
Bronx,Mott Haven/Port Morris,5414,168,5414
Brooklyn,Prospect-Lefferts Gardens,3452,188,3452
Brooklyn,Stuyvesant Heights,3163,225,3163
Staten Island,Eltingville/Annadale/Prince's Bay,9,84,9
Staten Island,Arden Heights,9,5,9
Manhattan,Lenox Hill East,478829,140,478829
Manhattan,Lower East Side,422068,148,422068
Bronx,Van Nest/Morris Park,378,242,378
Brooklyn,East Flatbush/Remsen Village,363,72,363
Manhattan,Upper West Side South,740868,239,740868
Manhattan,Gramercy,688951,107,688951
Manhattan,Lenox Hill West,661619,141,661619
Queens,LaGuardia Airport,654906,138,654906
Manhattan,Kips Bay,359390,137,359390
Manhattan,UN/Turtle Bay South,354557,233,354557
Manhattan,Hudson Sq,167824,125,167824
Manhattan,World Trade Center,163856,261,163856
